dob,name,wage,weekwage,height,weight,wins,fouls,goals,losses,red_card,total_pass,appearances,goal_assist,yellow_card,att_hd_goal,att_lf_goal,att_rf_goal,total_cross,hit_woodwork,interception,total_tackle,total_offside,total_clearance,big_chance_created,blocked_scoring_att,effective_head_clearance,error_lead_to_goal,accurate_long_balls,duel_won,duel_lost,aerial_won,won_tackle,aerial_lost,won_contest,ball_recovery,accurate_cross,total_through_ball,att_pen_goal,att_freekick_goal,big_chance_missed,total_scoring_att,ontarget_scoring_att,own_goals,clean_sheet,goals_conceded,last_man_tackle,clearance_off_line,saves,punches,goal_kicks,penalty_save,keeper_throws,good_high_claim,total_keeper_sweeper,stand_catch_dive_catch
3/2/98,Maarten Stekelenburg," £30,000.00 ", £30.00 ,180cm,73kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
1/12/87,Mamadou Sakho," £85,000.00 ", £85.00 ,184cm,80kg,1,0,0,0,0,5,1,0,0,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,0,0,1,,,0,0,0,0,1,0,1,0
7/9/93,Mame Biram Diouf," £65,000.00 ", £65.00 ,171cm,73kg,7,10,0,1,0,42.73,11,0,1,0,0,0,1,0,15,19,0,15,0,2,6,0,20,47,29,8,74%,5,4,40,1%,0,,,,,,0,1,8,0,0,,,,,,,,
12/28/89,Manuel Lanzini," £70,000.00 ", £70.00 ,175cm,73kg,8,28,0.04,11,1,48.68,28,2,7,0,0,1,10,1,34,78,0,14,1,15,2,0,107,144,133,9,81%,6,29,157,40%,7,0,0,0,46,15%,,,,,,,,,,,,,
6/25/91,Marc Albrighton," £45,000.00 ", £45.00 ,188cm,76kg,44,183,0.05,27,3,46.73,92,2,23,1,0,4,26,0,168,273,1,176,3,19,84,2,246,645,587,198,80%,187,83,661,4%,4,0,0,1,85,21%,,,,,,,,,,,,,
7/1/91,Marc Muniesa," £33,000.00 ", £33.00 ,173cm,74kg,83,72,0.3,26,0,48.73,145,30,10,4,9,30,314,3,97,103,31,26,37,76,13,0,289,"1,022",886,54,83%,111,493,683,17%,40,10,0,17,269,42%,,,,,,,,,,,,,
12/2/89,Marc Pugh," £25,000.00 ", £25.00 ,188cm,83kg,2,0,0,0,0,24,3,0,0,,,,,,,,,,,,,0,16,,,,,,,,,,,,,,,0,1,5,,,3,1,18,0,1,2,1,0
11/7/92,Marc Wilson," £30,000.00 ", £30.00 ,180cm,70kg,8,9,15,2,0,56.07,15,2,3,0,0,0,12,0,18,13,0,16,1,9,6,0,21,38,38,6,85%,11,5,66,17%,0,0,0,2,14,14%,,,,,,,,,,,,,
8/9/89,Marcin Wasilewski," £23,000.00 ", £23.00 ,186cm,79kg,64,90,0.23,54,0,27.19,151,21,10,2,6,26,616,14,153,167,9,73,32,110,21,0,89,417,656,31,74%,127,96,490,25%,62,4,5,14,336,36%,,,,,,,,,,,,,
9/4/94,Marcos Alonso," £50,000.00 ", £50.00 ,178cm,70kg,1,10,0,3,1,22.2,5,0,1,0,0,0,15,0,4,11,0,12,0,1,1,0,5,22,26,2,91%,6,4,14,27%,0,,,,,,0,0,5,0,0,,,,,,,,
12/21/89,Marcos Rojo," £110,000.00 ", £110.00 ,189cm,83kg,24,91,0.12,24,1,32.67,72,4,10,4,0,5,51,5,159,188,3,167,2,15,106,1,79,537,412,206,73%,133,56,446,16%,1,0,0,6,81,40%,,,,,,,,,,,,,
3/16/89,Marcus Rashford," £20,000.00 ", £20.00 ,176cm,68kg,135,68,0.24,54,0,15.98,243,43,5,1,11,46,777,14,103,124,110,54,45,106,14,,,,,,,,,,,,0,0,58,484,43%,,,,,,,,,,,,,
3/2/97,Mark Birighitti," £6,000.00 ", £6.00 ,175cm,66kg,0,0,1,1,0,28,1,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,2,3,6,0,100%,2,1,5,2%,0,0,0,0,0,0%,,,,,,,,,,,,,
10/3/83,Mark Noble," £50,000.00 ", £50.00 ,195cm,85kg,61,170,8,77,1,30.11,196,6,35,3,4,1,10,5,247,185,13,"1,456",9,15,595,7,529,771,558,456,66%,307,18,547,20%,2,,,,,,4,41,278,7,2,,,,,,,,
12/15/89,Marko Arnautovic," £50,000.00 ", £50.00 ,170cm,66kg,27,39,4,23,0,36.33,75,8,6,0,4,0,245,3,103,82,8,236,13,12,107,5,252,266,233,94,66%,67,29,337,23%,3,,,,,,0,20,97,0,4,,,,,,,,
8/17/87,Marko Grujic," £18,000.00 ", £18.00 ,188cm,80kg,51,170,1,79,2,29.3,177,3,31,0,0,1,162,5,212,355,1,927,2,36,369,3,556,724,595,250,75%,169,66,634,25%,5,,,,,,1,32,203,9,2,,,,,,,,
3/27/96,Marouane Fellaini," £85,000.00 ", £85.00 ,168cm,63kg,0,1,2,2,0,9,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,2,4,0,50%,1,0,0,1%,0,0,0,0,2,50%,,,,,,,,,,,,,
5/28/94,Martin Kelly," £25,000.00 ", £25.00 ,188cm,70kg,35,21,1,26,0,44.76,84,0,6,1,0,0,15,0,125,112,1,385,5,3,215,4,316,378,180,156,75%,90,66,381,27%,2,,,,,,0,21,96,4,3,,,,,,,,
5/12/93,Mason Holgate," £25,000.00 ", £25.00 ,189cm,76kg,48,87,0.14,37,0,38.52,121,11,13,1,4,12,209,8,52,117,13,59,18,91,51,1,295,670,684,102,73%,115,271,446,22%,41,2,2,16,257,28%,,,,,,,,,,,,,
8/28/90,Mathieu Debuchy," £75,000.00 ", £75.00 ,170cm,65kg,16,20,0.25,22,0,29.02,48,2,5,1,4,7,106,1,30,44,4,6,4,20,1,,,,,,,,,,,,4,0,2,73,34%,,,,,,,,,,,,,
6/20/87,Matt Targett," £10,000.00 ", £10.00 ,198cm,83kg,60,3,1,74,0,20.99,188,0,10,,,,,,,,,,,,,17,"1,538",,,,,,,,,,,,,,,0,50,236,,,578,62,"1,777",2,667,347,161,114
3/21/92,Matteo Darmian," £45,000.00 ", £45.00 ,184cm,78kg,18,41,0,17,0,35.86,42,0,9,0,0,0,2,0,79,66,0,188,0,0,82,2,127,139,147,49,71%,76,11,138,2%,0,,,,,,0,4,45,0,0,,,,,,,,
8/14/89,Matthew James," £25,000.00 ", £25.00 ,182cm,70kg,32,64,0.16,14,0,50.14,58,6,12,1,2,6,59,0,85,137,3,48,7,26,12,0,132,272,227,22,71%,20,48,273,27%,22,1,0,2,65,20%,,,,,,,,,,,,,
2/26/86,Max Gradel," £23,000.00 ", £23.00 ,178cm,72kg,69,76,1,16,0,43.96,105,6,9,0,1,0,217,0,264,210,6,344,6,7,173,0,105,515,354,189,73%,143,36,578,16%,6,,,,,,0,40,85,0,2,,,,,,,,
12/19/85,Maya Yoshida," £28,000.00 ", £28.00 ,193cm,86kg,117,207,21,104,2,30.67,290,9,32,6,4,10,23,5,372,380,2,"2,476",7,51,926,7,637,"1,563",815,917,77%,435,59,"1,134",17%,5,,,,,,1,69,373,18,8,,,,,,,,
9/24/97,Michael Carrick," £80,000.00 ", £80.00 ,190cm,80kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
12/1/96,Michael Keane," £22,000.00 ", £22.00 ,175cm,76kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
10/27/90,Michail Antonio," £25,000.00 ", £25.00 ,186cm,78kg,2,0,7,4,0,18.86,7,0,0,0,0,0,22,0,11,9,0,10,0,3,3,0,4,20,18,6,78%,4,4,24,32%,0,0,0,0,7,29%,,,,,,,,,,,,,
11/9/95,Michel Vorm," £40,000.00 ", £40.00 ,178cm,75kg,0,0,0,0,0,36,1,0,0,0,0,0,1,0,1,4,0,3,0,0,0,0,3,9,4,2,50%,1,2,5,1%,0,,,,,,0,0,2,0,0,,,,,,,,
6/15/94,Michy Batshuayi," £70,000.00 ", £70.00 ,180cm,79kg,5,12,7,0,0,10.57,7,1,0,0,0,0,3,0,0,6,3,1,0,3,1,,,,,,,,,,,,0,0,3,10,30%,,,,,,,,,,,,,
7/22/91,Miguel Britos," £25,000.00 ", £25.00 ,183cm,76kg,8,13,27,14,1,29.96,27,1,2,0,0,0,108,0,50,42,0,38,3,9,22,0,41,120,93,42,88%,33,17,141,29%,1,0,0,3,27,22%,,,,,,,,,,,,,
8/29/97,Mike van der Hoorn," £15,000.00 ", £15.00 ,177cm,71kg,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
3/20/90,Modou Barrow," £15,000.00 ", £15.00 ,187cm,80kg,24,44,0,6,0,53.26,38,1,9,0,0,0,66,0,84,96,2,171,1,7,91,0,144,210,162,87,71%,75,11,208,24%,2,,,,,,0,10,30,0,0,,,,,,,,
7/9/87,Mohamed Elneny," £50,000.00 ", £50.00 ,182cm,82kg,19,104,0.2,35,0,32.68,75,8,14,2,12,1,609,5,81,164,14,65,21,50,13,0,69,531,669,100,77%,169,88,293,24%,20,1,5,11,165,36%,,,,,,,,,,,,,
7/17/85,Morgan Schneiderlin," £120,000.00 ", £120.00 ,188cm,82kg,11,27,0,13,0,34,29,0,9,0,0,0,3,0,69,34,0,158,0,0,59,1,119,138,88,78,68%,43,7,106,67%,1,,,,,,0,7,36,0,0,,,,,,,,
11/18/83,Mousa Demb√©l√©," £55,000.00 ", £55.00 ,188cm,76kg,108,179,8,82,3,32.92,264,5,47,7,0,1,20,2,401,390,7,"2,227",0,24,783,3,"1,192","1,307",679,762,75%,375,12,645,40%,5,,,,,,1,59,271,8,8,,,,,,,,
2/16/85,Moussa Sissoko," £80,000.00 ", £80.00 ,183cm,79kg,13,42,0,21,1,54.24,45,4,6,0,0,0,107,0,96,118,2,257,1,4,149,1,210,298,194,129,75%,77,36,270,24%,0,,,,,,0,8,78,0,2,,,,,,,,
11/3/92,Muhamed Besic," £30,000.00 ", £30.00 ,177cm,74kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
11/26/89,N'Golo Kant√©," £150,000.00 ", £150.00 ,180cm,79kg,15,32,0.15,33,0,23,66,5,5,1,1,8,219,6,54,74,12,33,7,35,7,0,38,168,275,22,69%,68,46,226,17%,18,0,0,2,115,32%,,,,,,,,,,,,,
12/2/88,Nacer Chadli," £60,000.00 ", £60.00 ,183cm,81kg,19,39,1,9,0,53.56,36,0,11,1,0,0,1,0,127,111,0,242,0,8,142,0,120,273,161,110,69%,64,14,231,1%,2,,,,,,0,11,41,1,2,,,,,,,,
4/6/77,Nacho Monreal," £70,000.00 ", £70.00 ,189cm,85kg,21,0,0,11,0,39,39,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
8/20/85,Nampalys Mendy," £50,000.00 ", £50.00 ,184cm,72kg,29,66,4,55,1,34.4,110,3,10,0,4,0,274,3,146,177,20,355,1,16,105,0,165,424,326,125,73%,100,49,348,19%,9,,,,,,0,12,170,3,2,,,,,,,,
4/1/97,Nathan Ak√©," £20,000.00 ", £20.00 ,170cm,68kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
2/3/89,Nathan Dyer," £32,000.00 ", £32.00 ,186cm,81kg,37,24,5,15,0,49.9,71,2,6,4,1,0,30,1,108,95,1,471,2,16,210,0,435,228,157,105,77%,76,16,324,23%,2,,,,,,0,26,60,1,2,,,,,,,,
4/1/87,Nathan Redmond," £60,000.00 ", £60.00 ,178cm,74kg,61,129,0,50,1,28.68,151,1,25,0,0,0,356,0,305,280,5,581,8,10,194,1,263,511,503,138,77%,165,36,598,22%,3,,,,,,0,42,186,2,8,,,,,,,,
9/16/93,Nathaniel Chalobah," £5,000.00 ", £5.00 ,180cm,72kg,2,10,0,4,0,21.33,9,0,5,0,0,0,15,0,27,13,2,26,0,0,12,0,10,27,20,8,62%,7,0,34,13%,1,,,,,,0,2,9,0,0,,,,,,,,
12/23/94,Nathaniel Clyne," £75,000.00 ", £75.00 ,182cm,68kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,0,0,0,0,0%,,,,,,,,,,,,,
5/13/91,Nemanja Matic," £90,000.00 ", £90.00 ,178cm,74kg,45,72,74,13,1,39.39,74,1,14,0,0,0,14,0,203,202,2,111,1,7,55,0,120,423,291,90,77%,56,66,449,36%,17,0,0,1,18,18%,,,,,,,,,,,,,
2/24/94,Nick Pope," £11,000.00 ", £11.00 ,163cm,70kg,0,3,2,1,0,27.5,2,0,0,0,0,0,10,0,2,0,1,2,0,0,0,0,3,6,5,0,0%,3,1,7,10%,0,0,0,0,2,2%,,,,,,,,,,,,,
4/24/87,Nicol√°s Otamendi," £120,000.00 ", £120.00 ,189cm,86kg,66,76,4,29,0,46.66,125,3,24,1,2,1,97,1,283,241,5,859,4,23,422,5,411,674,347,277,81%,139,75,676,20%,9,,,,,,2,39,142,5,0,,,,,,,,
1/14/86,Nolito," £95,000.00 ", £95.00 ,175cm,71kg,48,139,0.19,43,0,42.34,117,11,29,1,0,21,552,7,314,356,0,106,23,60,12,1,398,497,477,17,71%,28,33,600,26%,68,4,4,8,248,33%,,,,,,,,,,,,,
3/21/88,Nordin Amrabat," £45,000.00 ", £45.00 ,178cm,76kg,71,412,0.02,107,7,29.26,265,8,85,0,0,5,97,3,524,765,2,329,7,40,113,5,774,"1,180","1,252",154,74%,197,72,"1,126",20%,44,0,0,4,143,20%,,,,,,,,,,,,,
4/3/92,Ola Aina," £20,000.00 ", £20.00 ,183cm,79kg,42,128,0.1,20,0,30.22,83,18,16,1,6,0,264,4,78,183,23,18,20,43,7,0,49,407,564,21,75%,77,113,349,27%,23,0,0,8,117,34%,,,,,,,,,,,,,
2/21/89,Oliver McBurnie," £5,000.00 ", £5.00 ,190cm,83kg,22,58,1,26,0,50.97,65,1,6,0,0,0,5,1,180,119,3,418,0,5,245,2,165,335,240,167,78%,115,10,332,5%,2,,,,,,2,19,88,0,0,,,,,,,,
12/1/88,Olivier Giroud," £55,000.00 ", £55.00 ,183cm,71kg,6,9,0.04,13,0,13.67,24,1,2,0,0,1,14,0,2,12,6,1,0,3,1,,,,,,,,,,,,0,0,2,20,50%,,,,,,,,,,,,,
6/17/90,Oriol Romeu," £65,000.00 ", £65.00 ,195cm,90kg,8,1,0,15,0,25.29,31,0,2,,,,,,,,,,,,,4,184,,,,,,,,,,,,,,,0,7,44,,,88,17,292,0,120,45,20,8
4/5/85,Ovie Ejaria," £2,000.00 ", £2.00 ,179cm,67kg,68,177,0.1,21,0,54.11,106,8,26,2,0,9,29,2,189,313,0,150,11,22,86,0,248,643,616,135,72%,105,110,626,28%,36,0,0,5,94,29%,,,,,,,,,,,,,
7/9/86,Pape Souar√©," £30,000.00 ", £30.00 ,175cm,75kg,13,14,3,20,0,44.7,44,5,3,0,3,0,152,0,67,89,2,88,3,5,38,1,85,210,140,36,82%,29,63,233,24%,1,,,,,,0,9,74,0,0,,,,,,,,
12/11/85,Patrick van Aanholt," £55,000.00 ", £55.00 ,183cm,74kg,21,71,0.03,32,0,14.62,71,4,10,0,1,1,85,0,51,72,2,38,2,29,11,0,53,211,267,46,81%,45,44,180,24%,6,0,0,0,85,19%,,,,,,,,,,,,,
3/28/87,Paul Pogba," £290,000.00 ", £290.00 ,180cm,74kg,3,3,0,0,0,3.5,4,0,1,0,0,0,1,0,6,0,0,4,0,0,2,0,0,3,4,3,0%,1,0,1,1%,0,,,,,,0,0,1,0,0,,,,,,,,
9/24/91,Pedro," £99,000.00 ", £99.00 ,183cm,83kg,30,53,0.02,12,0,35.71,58,0,11,0,0,1,2,0,103,139,0,58,2,14,12,0,148,242,219,46,78%,45,24,279,2%,4,0,0,1,46,20%,,,,,,,,,,,,,
1/2/89,Pedro Obiang," £50,000.00 ", £50.00 ,186cm,83kg,4,8,2,7,0,26.33,21,1,0,0,1,1,2,0,41,34,2,184,2,1,88,0,37,115,63,69,65%,44,7,104,2%,1,,,,,,0,4,27,1,0,,,,,,,,
1/9/89,Per Mertesacker," £90,000.00 ", £90.00 ,188cm,76kg,83,53,0.4,46,1,18.13,171,19,8,12,43,13,157,14,43,33,69,26,20,86,10,,,,,,,,,,,,2,0,55,472,39%,,,,,,,,,,,,,
6/19/97,Peter Crouch," £40,000.00 ", £40.00 ,177cm,64kg,3,3,8,2,0,17.5,8,3,0,0,0,0,19,0,2,9,0,1,2,3,0,1,3,32,31,2,78%,6,13,26,21%,0,0,0,0,5,20%,,,,,,,,,,,,,
11/7/89,Petr Cech," £100,000.00 ", £100.00 ,192cm,84kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0%,0,0,0,0%,0,,,,,,0,0,0,0,0,,,,,,,,
10/15/86,Phil Jagielka," £50,000.00 ", £50.00 ,175cm,65kg,5,8,0.4,0,1,37,5,1,0,0,0,2,3,0,3,7,2,1,1,3,1,,,,,,,,,,,,0,0,1,9,33%,,,,,,,,,,,,,
1/31/84,Phil Jones," £75,000.00 ", £75.00 ,183cm,72kg,17,83,0.04,40,1,29.46,82,9,19,0,1,0,186,1,124,159,3,67,1,27,20,1,201,268,255,27,72%,39,31,289,31%,13,0,0,0,78,19%,,,,,,,,,,,,,
8/2/91,Philippe Coutinho," £150,000.00 ", £150.00 ,182cm,76kg,4,20,0.11,6,0,21.67,18,1,3,0,0,2,97,2,18,28,6,8,3,12,0,0,24,72,124,6,86%,16,22,75,29%,1,0,1,1,27,26%,,,,,,,,,,,,,
1/30/89,Pierre-Emile H√∏jbjerg," £50,000.00 ", £50.00 ,195cm,84kg,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
8/3/94,Ragnar Klavan," £30,000.00 ", £30.00 ,175cm,72kg,7,12,0.1,15,0,8.23,30,2,1,0,1,2,31,0,3,14,10,8,3,4,4,,,,,,,,,,,,0,0,2,19,47%,,,,,,,,,,,,,
9/19/82,Raheem Sterling," £150,000.00 ", £150.00 ,188cm,89kg,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,0,0,,,0,0,0,0,0,0,0,0
10/25/87,Ramadan Sobhi," £23,000.00 ", £23.00 ,183cm,90kg,48,56,0.06,14,1,38.76,82,8,16,0,0,5,102,1,89,108,0,106,6,36,32,0,286,180,166,38,69%,31,21,352,22%,21,0,0,0,126,24%,,,,,,,,,,,,,
6/28/95,Ramiro Funes Mori," £40,000.00 ", £40.00 ,184cm,70kg,0,1,0,2,0,21,3,0,1,0,0,0,3,0,2,8,0,6,0,0,4,0,6,13,7,5,75%,2,0,12,3%,0,,,,,,0,0,2,0,0,,,,,,,,
6/2/89,Riyad Mahrez," £100,000.00 ", £100.00 ,188cm,73kg,22,22,2,31,0,28.73,70,0,5,1,1,0,7,0,95,108,0,490,2,3,172,3,235,262,151,117,78%,94,9,228,29%,0,,,,,,2,14,106,3,1,,,,,,,,
12/16/87,Rob Holding," £25,000.00 ", £25.00 ,185cm,79kg,36,110,0.21,36,0,11.68,97,5,13,10,3,7,64,1,27,97,46,68,8,27,39,,,,,,,,,,,,0,0,30,132,42%,,,,,,,,,,,,,
6/6/85,Robert Huth," £38,000.00 ", £38.00 ,178cm,70kg,70,308,0.1,104,0,29.69,261,25,45,0,2,24,"1,424",8,324,529,20,298,21,72,74,0,440,898,"1,045",108,74%,189,83,"1,044",28%,47,1,11,7,260,36%,,,,,,,,,,,,,
5/5/94,Robert Snodgrass," £40,000.00 ", £40.00 ,180cm,75kg,5,7,0,6,0,33.8,15,0,4,0,0,0,36,0,27,39,2,41,0,0,21,0,14,75,53,16,67%,20,6,43,11%,0,,,,,,0,2,20,0,0,,,,,,,,
9/23/93,Roberto Firmino," £100,000.00 ", £100.00 ,179cm,75kg,1,1,4,3,0,5.5,4,0,0,0,0,0,4,0,0,1,1,1,0,2,1,,,,,,,,,,,,0,0,1,4,4%,,,,,,,,,,,,,
11/22/87,Roberto Pereyra," £45,000.00 ", £45.00 ,194cm,85kg,86,530,0.15,56,2,47.12,207,15,47,12,3,17,144,11,299,547,82,510,17,91,215,1,380,"1,614","1,657",739,78%,495,108,"1,291",22%,35,0,0,33,348,37%,,,,,,,,,,,,,
11/4/96,Romelu Lukaku," £80,000.00 ", £80.00 ,188cm,76kg,24,63,0.3,4,0,33.38,40,9,8,1,0,11,22,3,62,81,8,33,12,31,18,0,45,243,328,39,75%,50,39,199,18%,19,0,0,8,91,36%,,,,,,,,,,,,,
11/1/87,Ron-Robert Zieler," £50,000.00 ", £50.00 ,178cm,76kg,34,86,0.4,22,1,15.7,77,15,10,2,6,23,123,7,43,70,59,13,20,34,6,,,,,,,,,,,,5,0,34,175,46%,,,,,,,,,,,,,
7/22/84,Ross Barkley," £48,000.00 ", £48.00 ,180cm,64kg,124,106,0.09,154,0,27.95,385,58,14,2,20,8,"2,594",20,287,302,75,292,49,214,45,2,756,842,"1,006",71,76%,156,239,"1,322",25%,58,2,2,13,610,27%,,,,,,,,,,,,,
11/3/91,Ruben Loftus-Cheek," £35,000.00 ", £35.00 ,188cm,80kg,49,116,0.07,53,1,22.87,151,4,23,4,3,3,59,2,99,179,6,186,2,58,57,2,252,402,362,128,78%,89,42,421,15%,9,0,0,12,195,27%,,,,,,,,,,,,,
4/27/90,Ryan Allsop," £8,500.00 ", £8.50 ,191cm,77kg,34,81,0,30,0,24.82,83,3,7,0,0,0,154,1,94,233,1,306,1,4,146,2,65,380,298,98,76%,74,22,287,16%,2,,,,,,0,16,83,0,0,,,,,,,,
11/1/96,Ryan Bertrand," £70,000.00 ", £70.00 ,183cm,75kg,2,1,3,1,0,10.33,3,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,6,8,1,67%,1,2,7,1%,0,0,0,0,1,1%,,,,,,,,,,,,,
6/26/91,Ryan Fraser," £27,000.00 ", £27.00 ,178cm,83kg,1,5,0.2,3,0,13.8,5,1,0,0,1,0,2,0,1,1,7,0,0,1,0,,,,,,,,,,,,0,0,1,8,25%,,,,,,,,,,,,,
11/14/89,Ryan Shawcross," £45,000.00 ", £45.00 ,180cm,76kg,40,123,0.04,51,1,38.84,114,6,21,0,0,4,33,5,164,220,1,102,7,26,36,0,334,371,400,58,75%,78,43,517,18%,9,0,0,0,79,27%,,,,,,,,,,,,,
4/22/87,Sadio Man√©," £100,000.00 ", £100.00 ,189cm,84kg,50,109,6,17,0,45.63,84,4,22,2,0,4,51,3,194,117,1,363,7,31,167,1,417,405,346,137,81%,93,49,469,25%,20,,,,,,1,27,65,3,1,,,,,,,,
4/19/91,Saido Berahino," £80,000.00 ", £80.00 ,185cm,83kg,13,17,4,19,0,43.14,43,0,6,2,0,2,4,0,90,37,2,354,1,5,211,1,210,197,119,145,59%,81,6,193,4%,0,,,,,,0,9,74,0,0,,,,,,,,
2/5/85,Sam Byram," £30,000.00 ", £30.00 ,180cm,76kg,22,66,0.14,49,0,15.85,97,5,4,4,3,7,92,5,39,61,31,34,2,34,13,,,,,,,,,,,,1,0,5,133,34%,,,,,,,,,,,,,
1/2/84,Sam Field," £10,000.00 ", £10.00 ,183cm,83kg,172,156,0.07,51,3,34,283,23,22,7,1,8,286,2,265,372,2,217,8,52,63,0,767,750,798,123,73%,137,83,"1,077",26%,58,0,0,3,152,28%,,,,,,,,,,,,,
2/24/91,Sam Johnstone," £12,000.00 ", £12.00 ,186cm,84kg,0,0,0,1,0,18,1,0,0,0,0,0,0,0,1,1,0,3,0,0,1,0,3,2,1,1,100%,0,0,2,0%,0,,,,,,0,0,3,0,0,,,,,,,,
4/1/86,Sam Vokes," £17,000.00 ", £17.00 ,182cm,75kg,67,141,10,71,6,35.03,176,5,19,4,3,3,184,4,388,367,5,"1,519",5,40,582,5,488,"1,049",660,482,75%,268,117,782,11%,12,,,,,,3,34,240,10,4,,,,,,,,
8/1/86,Santiago Cazorla," £100,000.00 ", £100.00 ,173cm,67kg,125,162,0.18,36,0,58.18,192,58,19,1,28,5,669,13,158,260,20,69,69,130,10,0,298,764,923,59,73%,98,226,937,27%,245,0,0,37,361,31%,,,,,,,,,,,,,
8/11/89,Scott Arfield," £23,000.00 ", £23.00 ,181cm,75kg,54,216,0.1,35,1,54.88,125,2,25,3,2,7,92,2,344,426,5,218,6,26,76,0,481,750,620,175,76%,154,60,814,25%,17,0,0,3,101,25%,,,,,,,,,,,,,
12/9/92,Scott Dann," £60,000.00 ", £60.00 ,186cm,78kg,5,18,0.11,9,0,50.89,18,0,4,0,2,0,10,0,7,17,0,6,0,4,3,0,22,132,102,15,100%,17,75,124,10%,4,0,0,0,24,21%,,,,,,,,,,,,,
5/7/89,Seamus Coleman," £38,000.00 ", £38.00 ,188cm,84kg,38,74,3,28,0,50.74,86,1,15,1,0,2,8,0,179,157,1,621,1,20,350,4,363,508,269,295,73%,131,8,402,13%,2,,,,,,0,26,97,6,0,,,,,,,,
3/29/91,Sebastian Pr√∂dl," £20,000.00 ", £20.00 ,178cm,73kg,28,87,0.16,38,1,16.73,89,5,14,1,1,12,83,4,64,65,13,68,10,31,27,,,,,,,,,,,,4,0,10,150,36%,,,,,,,,,,,,,
10/17/87,Sergio Ag√ºero," £220,000.00 ", £220.00 ,188cm,83kg,1,9,0,4,0,39.71,7,0,1,0,0,0,11,0,29,23,0,24,0,3,15,1,15,54,52,17,78%,12,8,29,11%,0,,,,,,0,0,12,0,0,,,,,,,,
12/11/90,Sergio Romero," £65,000.00 ", £65.00 ,180cm,72kg,71,263,0.06,81,1,46.69,208,11,36,0,3,9,142,4,382,560,2,344,7,60,121,2,765,"1,002",874,116,76%,138,108,"1,102",27%,23,0,0,8,159,26%,,,,,,,,,,,,,
2/10/93,Shane Long," £60,000.00 ", £60.00 ,182cm,78kg,3,0,0.2,1,0,2.6,5,1,0,0,0,1,1,1,1,1,0,0,0,1,0,,,,,,,,,,,,0,0,2,5,40%,,,,,,,,,,,,,
1/1/85,Sheyi Ojo," £10,000.00 ", £10.00 ,173cm,70kg,85,134,0.05,96,0,32,255,16,18,0,2,7,468,3,200,367,18,231,24,44,71,1,487,603,766,56,79%,148,89,973,29%,58,0,0,11,140,25%,,,,,,,,,,,,,
5/25/86,Shinji Okazaki," £35,000.00 ", £35.00 ,178cm,64kg,75,148,0.09,128,1,29.36,280,30,20,9,1,15,467,4,338,456,18,190,21,90,54,0,510,915,"1,053",86,73%,158,212,"1,097",28%,83,2,0,13,364,32%,,,,,,,,,,,,,
11/11/83,Shkodran Mustafi," £90,000.00 ", £90.00 ,182cm,78kg,26,64,0.22,29,0,22.38,79,10,3,3,2,11,41,2,24,54,34,18,9,35,7,,,,,,,,,,,,0,0,23,148,40%,,,,,,,,,,,,,
9/28/84,Simon Francis," £30,000.00 ", £30.00 ,180cm,73kg,10,25,0,28,0,17.69,48,1,6,0,0,0,4,1,51,56,0,256,1,1,161,1,72,159,101,99,70%,62,0,115,25%,0,,,,,,0,4,46,1,1,,,,,,,,
